"id","name","city_ids/id"
"l10n_cl_electronic_invoicing.ur_Ran","Rancagua","l10n_cl_toponym.CL06101,l10n_cl_toponym.CL06102,l10n_cl_toponym.CL06103,l10n_cl_toponym.CL06104,l10n_cl_toponym.CL06105,l10n_cl_toponym.CL06106,l10n_cl_toponym.CL06108,l10n_cl_toponym.CL06109,l10n_cl_toponym.CL06110,l10n_cl_toponym.CL06111,l10n_cl_toponym.CL06114,l10n_cl_toponym.CL06115,l10n_cl_toponym.CL06116"
"l10n_cl_electronic_invoicing.ur_SaA","San Antonio","l10n_cl_toponym.CL05601,l10n_cl_toponym.CL05602,l10n_cl_toponym.CL05603,l10n_cl_toponym.CL05604,l10n_cl_toponym.CL05605,l10n_cl_toponym.CL05606"
"l10n_cl_electronic_invoicing.ur_Sar","San Carlos","l10n_cl_toponym.CL08416,l10n_cl_toponym.CL08417,l10n_cl_toponym.CL08419,l10n_cl_toponym.CL12104"
"l10n_cl_electronic_invoicing.ur_SaF","San Felipe","l10n_cl_toponym.CL05701,l10n_cl_toponym.CL05702,l10n_cl_toponym.CL05703,l10n_cl_toponym.CL05704,l10n_cl_toponym.CL05705,l10n_cl_toponym.CL05706"
"l10n_cl_electronic_invoicing.ur_SaD","San Fernando","l10n_cl_toponym.CL06301,l10n_cl_toponym.CL06303,l10n_cl_toponym.CL06305,l10n_cl_toponym.CL06308"
"l10n_cl_electronic_invoicing.ur_SaV","San Vicente de Tagua Tagua","l10n_cl_toponym.CL06107,l10n_cl_toponym.CL06112,l10n_cl_toponym.CL06113,l10n_cl_toponym.CL06117"
"l10n_cl_electronic_invoicing.ur_SaZ","Santa Cruz","l10n_cl_toponym.CL06302,l10n_cl_toponym.CL06304,l10n_cl_toponym.CL06306,l10n_cl_toponym.CL06307,l10n_cl_toponym.CL06309,l10n_cl_toponym.CL06310"
"l10n_cl_electronic_invoicing.ur_SaC","Santiago Centro","l10n_cl_toponym.CL13101"
"l10n_cl_electronic_invoicing.ur_SaN","Santiago Norte","l10n_cl_toponym.CL13104,l10n_cl_toponym.CL13107,l10n_cl_toponym.CL13108,l10n_cl_toponym.CL13125,l10n_cl_toponym.CL13127,l10n_cl_toponym.CL13301,l10n_cl_toponym.CL13302,l10n_cl_toponym.CL13303"
"l10n_cl_electronic_invoicing.ur_SaO","Santiago Oriente","l10n_cl_toponym.CL13120,l10n_cl_toponym.CL13114,l10n_cl_toponym.CL13115,l10n_cl_toponym.CL13123,l10n_cl_toponym.CL13132"
"l10n_cl_electronic_invoicing.ur_SaP","Santiago Poniente","l10n_cl_toponym.CL13103,l10n_cl_toponym.CL13106,l10n_cl_toponym.CL13117,l10n_cl_toponym.CL13124,l10n_cl_toponym.CL13126,l10n_cl_toponym.CL13128,l10n_cl_toponym.CL13503,l10n_cl_toponym.CL13501,l10n_cl_toponym.CL13502,l10n_cl_toponym.CL13504,l10n_cl_toponym.CL13505,l10n_cl_toponym.CL13601,l10n_cl_toponym.CL13602"
"l10n_cl_electronic_invoicing.ur_SaS","Santiago Sur","l10n_cl_toponym.CL13109,l10n_cl_toponym.CL13111,l10n_cl_toponym.CL13112,l10n_cl_toponym.CL13116,l10n_cl_toponym.CL13121,l10n_cl_toponym.CL13129,l10n_cl_toponym.CL13130,l10n_cl_toponym.CL13131"
"l10n_cl_electronic_invoicing.ur_TaT","Tal-Tal","l10n_cl_toponym.CL02104"
"l10n_cl_electronic_invoicing.ur_Tac","Talca","l10n_cl_toponym.CL07101,l10n_cl_toponym.CL07103,l10n_cl_toponym.CL07105,l10n_cl_toponym.CL07106,l10n_cl_toponym.CL07107,l10n_cl_toponym.CL07108,l10n_cl_toponym.CL07109,l10n_cl_toponym.CL07406"
"l10n_cl_electronic_invoicing.ur_Tah","Talcahuano","l10n_cl_toponym.CL08110,l10n_cl_toponym.CL08112"
"l10n_cl_electronic_invoicing.ur_Tem","Temuco","l10n_cl_toponym.CL09101,l10n_cl_toponym.CL09102,l10n_cl_toponym.CL09103,l10n_cl_toponym.CL09105,l10n_cl_toponym.CL09106,l10n_cl_toponym.CL09107,l10n_cl_toponym.CL09108,l10n_cl_toponym.CL09109,l10n_cl_toponym.CL09110,l10n_cl_toponym.CL09111,l10n_cl_toponym.CL09112,l10n_cl_toponym.CL09113,l10n_cl_toponym.CL09114,l10n_cl_toponym.CL09116,l10n_cl_toponym.CL09117,l10n_cl_toponym.CL09118,l10n_cl_toponym.CL09119,l10n_cl_toponym.CL09121"
"l10n_cl_electronic_invoicing.ur_Toc","Tocopilla","l10n_cl_toponym.CL02301,l10n_cl_toponym.CL02302"
"l10n_cl_electronic_invoicing.ur_Vld","Valdivia","l10n_cl_toponym.CL14101,l10n_cl_toponym.CL14102,l10n_cl_toponym.CL14103,l10n_cl_toponym.CL14104,l10n_cl_toponym.CL14105,l10n_cl_toponym.CL14106,l10n_cl_toponym.CL14107,l10n_cl_toponym.CL14108,l10n_cl_toponym.CL14201,l10n_cl_toponym.CL14202,l10n_cl_toponym.CL14203,l10n_cl_toponym.CL14204"
"l10n_cl_electronic_invoicing.ur_Val","Vallenar","l10n_cl_toponym.CL03301,l10n_cl_toponym.CL03302,l10n_cl_toponym.CL03303,l10n_cl_toponym.CL03304"
"l10n_cl_electronic_invoicing.ur_Vlp","Valparaíso","l10n_cl_toponym.CL05101,l10n_cl_toponym.CL05102,l10n_cl_toponym.CL05103,l10n_cl_toponym.CL05104,l10n_cl_toponym.CL05105,l10n_cl_toponym.CL05107,l10n_cl_toponym.CL05109,l10n_cl_toponym.CL05201"
"l10n_cl_electronic_invoicing.ur_Vic","Victoria","l10n_cl_toponym.CL09203,l10n_cl_toponym.CL09205,l10n_cl_toponym.CL09207,l10n_cl_toponym.CL09210,l10n_cl_toponym.CL09211"
"l10n_cl_electronic_invoicing.ur_ViA","Villa Alemana","l10n_cl_toponym.CL05106,l10n_cl_toponym.CL05108"
"l10n_cl_electronic_invoicing.ur_ViR","Villarrica","l10n_cl_toponym.CL09104,l10n_cl_toponym.CL09115,l10n_cl_toponym.CL09120"
"l10n_cl_electronic_invoicing.ur_ViM","Viña del Mar","l10n_cl_toponym.CL05103,l10n_cl_toponym.CL05105,l10n_cl_toponym.CL05107,l10n_cl_toponym.CL05109"
